R_AbsMax,S_AbsMax,T_AbsMax,R_AbsMean,S_AbsMean,T_AbsMean,R_P2P,S_P2P,T_P2P,R_RMS,S_RMS,T_RMS,R_Skewness,S_Skewness,T_Skewness,R_Kurtosis,S_Kurtosis,T_Kurtosis,R_Crest,S_Crest,T_Crest,R_Shape,S_Shape,T_Shape,R_Impulse,S_Impulse,T_Impulse,RS_phase,ST_phase,TR_phase,RS_Level,ST_Level,TR_Level,R_1x,S_1x,T_1x,R_2x,S_2x,T_2x,R_3x,S_3x,T_3x,R_4x,S_4x,T_4x
3.36328125,3.1630859375,4.1240234375,2.028138671875,1.8414765625,2.23123681640625,6.6865234375,6.2060546875,7.6875,2.256788891502081,2.088143250500672,2.499745966307091,-0.009936650878213382,7.5304325302914e-05,0.007095367220670881,1.4873067582487267,1.536807535618099,1.54597881546455,2.962848435969375,2.9720445117986904,3.0753124931957982,1.1127389476853156,1.1339504900707482,1.12034094629781,1.658309314170648,1.717690033049226,1.848312741693808,-3.141592653589726,-3.141592653589793,-3.141592653589793,0.2504843750000001,2.0984824218749996,-2.3489667968749997,0.019082930001620216,0.017527787980232582,0.01825386240740915,3.351791594815052,3.100696996901364,3.6967186099929408,0.021505262055260127,0.02088247431828139,0.026651299810758564,0.026565352889959287,0.024807111415083932,0.023144296300990103
0.2001953125,0.2001953125,0.400390625,0.0006005859375,0.01203173828125,0.3071396484375,0.2802734375,0.240234375,0.2001953125,0.008107292245937306,0.03944406537573781,0.3077803541719071,-15.6448844190518,-2.895065843289224,0.6880297684575899,370.32160142652907,9.763630902716649,3.681668827387698,34.57053588273563,6.090507474611607,0.6504486390583047,13.498971154211059,3.2783347221911057,1.0020860404629182,333.3333333333333,16.638935108153078,1.3036110024768608,-3.141592653589793,-3.141592653589793,-3.141592653589793,0.028127441406249995,-0.94750927734375,0.9193818359375001,0.0009124106867290955,0.002671653785216152,0.002284264853795481,0.00086449622359073,0.0031546671975317764,0.0025236225307246002,0.001309835303309111,0.003526965785269541,0.0021770212139177753,0.0012986683789917722,0.0027666599235304694,0.00286312505136818
0.16015625,0.240234375,0.400390625,0.0009208984375,0.011771484375,0.30679931640625,0.2802734375,0.2802734375,0.240234375,0.010129170630226841,0.03961642170660355,0.30748983366373117,-6.720491768179213,-3.057014464719346,0.8460873372091059,179.58676047918811,11.014927431069394,5.045464025020255,27.669929526473318,7.074678262859919,0.781275829960345,10.99922664406393,3.3654567635276287,1.002250713155328,173.91304347826087,20.408163265306122,1.3050570962479608,-3.141592653589793,3.141592653589525,3.141592653589079,0.068546875,-0.9478896484375,0.8793427734375001,0.0017162021635093742,0.004479934515205626,0.0041067586832102265,0.0019077007928676734,0.0017360991058356704,0.0030162408321083287,0.0012269584801881904,0.002739625124487434,0.0028166941555808622,0.0011238754117949231,0.0037445954257394926,0.0043278680689208295
3.4033203125,3.0830078125,4.00390625,2.0680576171875,1.88121533203125,2.20789404296875,6.7666015625,6.0458984375,7.4072265625,2.2957223211358584,2.1123292279486754,2.4597083244658675,0.005556700646345692,-0.009596732839689363,-0.003019482999878509,1.4881671743012719,1.512022080093319,1.5134079172113544,2.9474825854165485,2.862195133933403,3.011424764807632,1.1100862481084914,1.1228535043183383,1.114051796234989,1.645660296993282,1.6388383403037172,1.8134503613299846,-3.141592653589726,3.1415926535896146,3.141592653588365,0.4116616210937498,2.0167426757812503,-2.4284042968749997,0.015175677465757067,0.011400275881967192,0.018773749963021728,3.4440958446745076,3.172200130968632,3.6723839031285874,0.014971524991698558,0.016814600830198857,0.01682472482812427,0.02305792054175644,0.029117652190032903,0.027701103931647847
3.283203125,3.04296875,4.00390625,2.04513525390625,1.85114599609375,2.21822412109375,6.56640625,5.92578125,7.447265625,2.2672281329183264,2.081305222909897,2.47463384646003,0.0036623205262917226,-0.004523471452973256,-0.007786147765792409,1.4781219922266196,1.5169511902727437,1.518891337181933,2.8962265220076753,2.847146677369644,3.0094414313670415,1.1085956924305493,1.1243333736516863,1.1155923438610211,1.6053721233004101,1.6438296905923195,1.805005279640443,-3.141592653589726,3.1415926535887664,3.141592653588365,0.3686796874999998,1.93850634765625,-2.30718603515625,0.011589648851999278,0.012563800053493604,0.012330061422897828,3.2875447543855505,3.018571221260283,3.5730380800074504,0.017419560830911708,0.012481777403211334,0.015382816097822632,0.02439145730404509,0.02254858534166292,0.024004557584307397
0.16015625,0.240234375,0.400390625,0.00078076171875,0.01235205078125,0.30631884765625,0.2802734375,0.2802734375,0.240234375,0.008446249487293833,0.040684495056101784,0.30698892083197454,-7.169541507163128,-2.9732694633034966,0.8477056699558508,235.62945678280835,10.547938985835783,4.350351086396801,33.183182419798406,6.888949638271721,0.782550635211648,10.817960569091788,3.293744154441098,1.002187502273698,205.12820512820514,19.448946515397083,1.3071041108424286,-3.141592653589793,-3.141592653589793,3.1415926535891456,0.067666015625,-0.94726904296875,0.8796030273437501,0.0004722561721534548,0.00151912624617846,0.0011727823120433229,0.0006688235817037787,0.0036143187779002746,0.0024701717465613043,0.00216397633709158,0.003823914190745195,0.0019959540206247505,0.0012229946421286387,0.0045128903655382675,0.0021863767938806473
3.3232421875,3.0830078125,4.1240234375,2.06407373046875,1.8589736328125,2.28312744140625,6.6064453125,6.0859375,7.6474609375,2.2894192740335115,2.098450283258718,2.552168645489017,-0.005710266882600011,0.008898456833675685,-0.005460349867289498,1.4693080270481926,1.5229943526898477,1.5278909543563914,2.885642392998958,2.900205713022206,2.9964559556113044,1.1091751424565564,1.128821972630083,1.1178388902886016,1.6100404449919012,1.6584462297271103,1.8063045289140252,-3.141592653589726,-3.141592653589793,3.1415926535884315,0.24894287109375002,2.06092578125,-2.3098686523437504,0.019022137312346026,0.008583279171880986,0.022955743322364126,3.3821360226315678,3.09589294044471,3.7468893308223206,0.024254972875837666,0.02093831657298833,0.019105296766177966,0.03383080568129897,0.02647848566418154,0.03248637105253882
3.3232421875,3.1630859375,4.0439453125,0.54379052734375,0.50471240234375,0.60865380859375,6.646484375,6.0458984375,7.5673828125,0.754106272989266,0.6934420013625455,0.8303926848263001,0.17016177690976486,-0.09979979797376809,-0.15173610267984503,5.540082012693442,5.594872996818264,6.425956531815277,8.813723758925164,8.718679320866636,9.113017191478427,1.3867587518908135,1.3739349343158311,1.3643103404624406,6.111254279718735,6.267105628495497,6.644081176199718,3.141592653589168,-3.141592653589793,3.141592653588365,0.39230273437499985,1.94359130859375,-2.33589404296875,0.055877460771421306,0.0427148687964312,0.04915635501533849,1.3211802179654826,1.1878178225653675,1.349766173908921,0.07572890854988965,0.09230151032082111,0.09820348260443475,0.03484503839350034,0.04828917489371397,0.04969357094087839
3.36328125,3.0830078125,4.00390625,2.06819775390625,1.86816259765625,2.23035595703125,6.7265625,6.005859375,7.4873046875,2.2942915612336963,2.102187862903739,2.4871253992891256,-0.0007043814916937339,-0.009747681430384535,0.002736812479696016,1.480507034251514,1.5149936701925986,1.5207766988835656,2.9318690848441964,2.856956545598234,3.010425083367342,1.1093192403388012,1.1252702872550233,1.1151248711885668,1.6261893929860902,1.6502888005400946,1.7951871033758493,-3.141592653589726,-3.141592653589793,-3.141592653589793,0.40883886718749984,1.9787856445312502,-2.38762451171875,0.010547780307979045,0.010455675757215507,0.014933390754647745,3.3391556764693386,3.060484376637141,3.608840071903895,0.025546262874249038,0.02397654047629486,0.02646300733419112,0.09344367065607631,0.08776816223251788,0.09365243575855786
3.5234375,3.123046875,4.083984375,1.4122177734375,1.28515380859375,1.51437744140625,6.9267578125,6.166015625,7.6474609375,1.7595056567284078,1.6101869652570315,1.9001370166011877,-0.011407933695499738,0.012244181450216707,0.00639480569334026,2.3843624709392484,2.430273968605474,2.4932953786994347,3.9367635938036627,3.829378673436056,4.024689204349675,1.2459166637207582,1.25291381816698,1.2547314590454552,2.494967537070114,2.430095801853727,2.6968074558794366,-3.141592653589726,-3.141592653589793,-3.141592653589793,0.34251416015625,2.09497900390625,-2.4374931640625004,0.07739556265246843,0.04920407020753172,0.06675794486585945,3.8565393387701223,3.5266138687399433,4.155895360617284,0.04556778948139045,0.058771982735733724,0.06750268018387952,0.03226027114204936,0.04108099934332881,0.04296647808437968
